loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.020316165,0.70218915,0.0038201283,0.6777597,78.89292,75.50522
0.0041593374,0.6676016,0.003784698,0.6543338,75.33002,73.052
0.0041643674,0.64088696,0.0037321078,0.6261644,72.534256,70.12659
0.0041399403,0.6099471,0.003788265,0.5923616,69.29602,66.57708
0.0041206516,0.5755316,0.0037008782,0.5556196,65.67365,62.697735
0.0040926416,0.5342697,0.003713705,0.5114962,61.344902,58.03326
0.0040578577,0.49569288,0.0038885737,0.47294417,57.30728,53.94548
0.0039888266,0.4596004,0.0037205594,0.43698958,53.560013,50.199802
0.004005314,0.4247239,0.0036880712,0.41017264,49.96857,47.542416
0.0039199195,0.39382035,0.0036269308,0.38033092,46.779602,44.429623
0.0039032232,0.36871096,0.003565558,0.3563494,44.21316,41.90765
0.003893723,0.34538943,0.003487252,0.33335406,41.787216,39.502155
0.0038467883,0.32454363,0.0035421774,0.31517595,39.625847,37.720047
0.0038521155,0.30467573,0.003572281,0.29512402,37.62765,35.694096
0.00383057,0.2862948,0.0035592725,0.27808887,35.750088,33.873592
0.0038018872,0.27125224,0.0035135096,0.26003826,34.210117,32.09045
0.0037985358,0.25705183,0.0034600662,0.2554009,32.764904,31.529348
0.0037865485,0.24518637,0.0034422234,0.23937011,31.564873,29.908451
0.0037785484,0.23372868,0.0035102495,0.2272351,30.397509,28.811724
0.0037686967,0.22208963,0.0035259852,0.21460415,29.21902,27.51116
0.003753327,0.21163882,0.0033911138,0.20871589,28.146282,26.827143
0.0037444977,0.2042359,0.0034464158,0.2031399,27.38132,26.272156
0.0037377109,0.19492672,0.003489307,0.19284344,26.440542,25.266981
0.0037415859,0.18749422,0.003439055,0.18415068,25.695183,24.341133
0.003728617,0.18066896,0.0034728437,0.17463547,25.012835,23.30061
0.0037165096,0.17361304,0.0034341698,0.17173746,24.293764,23.101889
0.0037195995,0.1686944,0.0034718874,0.16747363,23.805311,22.624897
0.003724067,0.16247658,0.003384624,0.15898043,23.17843,21.772638
0.0036877014,0.15700549,0.0034391729,0.15703619,22.598387,21.652037
0.003682443,0.15164854,0.0034126334,0.15092252,22.05679,20.909065
0.003697795,0.14721979,0.0034831585,0.14658369,21.614237,20.600393
0.0036779693,0.14250943,0.003428392,0.13878994,21.130775,19.797333
0.0036709665,0.13809757,0.0034472586,0.1348444,20.69935,19.30518
0.003672186,0.13379283,0.0034345896,0.13278718,20.25714,19.07632
0.0036762038,0.12958543,0.0034278815,0.1278733,19.838848,18.652834
0.0036612388,0.12573603,0.0034569206,0.12523723,19.454033,18.508469
0.003670364,0.12108229,0.0033993886,0.11856839,18.97496,17.816603
0.003673102,0.117631376,0.003375314,0.11362954,18.632969,17.309887
0.003653244,0.11439734,0.0033833915,0.1117561,18.290636,17.024685
0.0036590244,0.110892594,0.003420498,0.10723393,17.952051,16.583094
0.0036552404,0.105977416,0.0033791256,0.104052484,17.455484,16.348452
0.0036753283,0.103743926,0.0034150688,0.101668335,17.240513,16.011885
0.0036537822,0.10040224,0.0034189746,0.09814306,16.885763,15.736563
0.0036617198,0.098122016,0.0034232545,0.09562936,16.676697,15.450619
0.003665888,0.09398771,0.0034228826,0.09171496,16.261965,15.03487
0.0036598213,0.0919463,0.003382131,0.08794995,16.058971,14.709224
0.003643775,0.08880219,0.0034058867,0.08630435,15.73919,14.4603405
0.0036611885,0.08718479,0.0033531608,0.08450893,15.573523,14.347145
0.0036475507,0.08553417,0.0035180664,0.08186033,15.392999,14.19747
0.003665008,0.08270455,0.0033472294,0.08133852,15.176294,14.002644
0.0036461614,0.08116874,0.0033819317,0.07906665,14.972788,13.830864
0.003653515,0.07967714,0.0034471906,0.07919593,14.834,13.821524
0.0036406096,0.0783457,0.0033387283,0.07559261,14.688648,13.430543
0.0036484327,0.076549776,0.0034450802,0.07364618,14.505229,13.250513
0.0036403395,0.074657775,0.003437987,0.07202629,14.317753,13.170246
0.0036154604,0.07364414,0.0033921066,0.0707586,14.190721,12.946721
0.003623403,0.07300882,0.003394776,0.07108677,14.144954,12.904804
0.0036126627,0.071407326,0.0033862195,0.06944192,13.965926,12.761599
0.00360782,0.07063896,0.0033876617,0.06890388,13.885791,12.716229
0.0036132727,0.06913212,0.0033736979,0.06737808,13.723618,12.638159
0.0036063984,0.067517176,0.0034292429,0.06622052,13.565938,12.496009
0.0036108145,0.066245966,0.0033709048,0.06305392,13.451067,12.188521
0.003618294,0.06549731,0.0034771315,0.064773574,13.366016,12.440011
0.003598562,0.064151585,0.0034379752,0.06457545,13.218672,12.408738
0.0035880462,0.06322214,0.0034414583,0.06155362,13.110053,12.092884
0.0035918443,0.06270033,0.0033519506,0.061683517,13.04821,12.025065
0.003609186,0.061938733,0.0034489632,0.059656862,12.963189,11.915947
0.0035906546,0.060641453,0.0033444737,0.059546486,12.850295,11.865434
0.0036127912,0.06018099,0.003397958,0.05945276,12.807532,11.83014
0.0035831677,0.058944758,0.003381427,0.058503777,12.651702,11.734349
0.0035885484,0.05861844,0.0035011147,0.06014535,12.627699,11.973201
0.0035891759,0.05845778,0.0034397999,0.057044856,12.641355,11.623894
0.003580838,0.057320867,0.0033454448,0.055131234,12.525462,11.391649
0.003596464,0.05670134,0.0034397445,0.056229196,12.441267,11.494079
0.003582025,0.05559769,0.0033753577,0.055490695,12.321092,11.540741
0.0035850636,0.055239007,0.0033838884,0.053555332,12.296512,11.270157
0.003578899,0.054036506,0.0033914708,0.05291071,12.174829,11.236656
0.0035683208,0.054228473,0.0033571438,0.0534586,12.184168,11.263972
0.0035715296,0.053855885,0.0033984676,0.052574623,12.13832,11.071239
0.0035814052,0.053402867,0.0035049953,0.05109019,12.105267,11.027664
0.0035667764,0.052926205,0.0033631816,0.05181189,12.037774,11.106076
0.0035913424,0.053203784,0.003361977,0.052689902,12.10306,11.041753
0.003559595,0.05204935,0.003344906,0.051336084,11.946507,10.90448
0.0035647184,0.05218348,0.0033168932,0.050853703,11.988331,11.00916
0.0035693788,0.051506154,0.0034204195,0.050920635,11.9018345,10.931205
0.003556478,0.05116405,0.0034097312,0.04951443,11.850292,10.798347
0.0035592609,0.050831247,0.0033574114,0.049859893,11.836624,10.889899
0.0035533812,0.050297298,0.003355037,0.048228428,11.783643,10.734447
0.003571166,0.05012849,0.0033619467,0.04850411,11.757951,10.717399
0.0035556562,0.04978228,0.003364315,0.04811481,11.725,10.734401
0.003558646,0.04939096,0.0033155896,0.04701963,11.6873665,10.5963545
0.003547898,0.04908716,0.0033444525,0.048064042,11.624303,10.705483
0.0035496298,0.048997212,0.003387083,0.047573768,11.634396,10.707144
0.0035395615,0.048813976,0.0033629143,0.047371935,11.628681,10.549832
0.0035385997,0.048580132,0.0033276465,0.047128953,11.597108,10.561587
0.0035356137,0.04795362,0.003313269,0.04718618,11.512168,10.56229
0.0035408055,0.047935687,0.0032944176,0.04617057,11.530179,10.481784
0.003540943,0.047389403,0.0033424173,0.046227876,11.469232,10.53889
0.0035421292,0.04735885,0.0033881322,0.04751128,11.463144,10.651545
0.0035295587,0.047091454,0.0033038645,0.044677984,11.428356,10.361447
0.003523468,0.046781313,0.003411468,0.04505056,11.3969755,10.365004
0.0035459758,0.046756085,0.003438809,0.045861375,11.405198,10.542103
0.0035502182,0.046396486,0.0033698694,0.045425378,11.364488,10.4016285
0.0035431923,0.046104148,0.0033588968,0.044054884,11.347871,10.288048
0.003526331,0.045750324,0.0033678748,0.044871535,11.3058,10.346222
0.0035161204,0.045849677,0.0033722897,0.04422307,11.296428,10.312938
0.0035299887,0.045671843,0.0035411033,0.044578295,11.260685,10.556034
0.0035323163,0.04543128,0.0033509175,0.043406397,11.263194,10.194769
0.0035187574,0.04512044,0.0033664277,0.043800086,11.216953,10.295643
0.0035319591,0.045152165,0.0034408092,0.045474283,11.22296,10.508529
0.0035159863,0.04496166,0.003397768,0.04394234,11.193468,10.208137
0.003540012,0.045004938,0.0033231447,0.042602923,11.229951,10.14345
0.0035222468,0.044795692,0.0033975446,0.0428656,11.1750555,10.216127
0.0035192242,0.04461432,0.0033514218,0.043882318,11.168279,10.196224
0.0035258827,0.04449519,0.0033657085,0.04279319,11.151856,10.173333
0.0035068316,0.044424776,0.0033422168,0.042795595,11.1332655,10.178363
0.0035114966,0.04431295,0.0033932815,0.044028707,11.136248,10.259017
0.0035298944,0.044358198,0.0033692291,0.042404365,11.1552725,10.146274
0.003508611,0.043884747,0.0034010059,0.042790037,11.0708,10.14773
0.00352403,0.043953497,0.0033242984,0.042558607,11.050242,10.145377
0.0035167672,0.043921985,0.0033281723,0.042577293,11.086912,10.139732
0.0035007657,0.04374264,0.0034171364,0.04281632,11.071971,10.167924
0.0035131343,0.04395321,0.0033403165,0.042388238,11.074336,10.109935
0.0034940222,0.043778855,0.0033673162,0.042181242,11.043425,10.145845
0.003512093,0.04383915,0.0033548009,0.041815232,11.055817,10.076491
0.0034990394,0.04359418,0.0033393658,0.041719425,11.0202875,10.055363
0.0035076586,0.04334952,0.0033360813,0.041570496,10.9834585,10.036325
0.003501933,0.043397415,0.003355029,0.043992385,11.005649,10.31325
0.0034882755,0.043530725,0.0033232102,0.04263179,10.999705,10.089118
0.003499385,0.043773104,0.0033141242,0.042165715,11.04394,10.114758
0.0035127571,0.043394223,0.00336161,0.041764855,11.0027685,10.099397
0.0034800577,0.043389544,0.0033263678,0.04164408,10.976061,10.079626
0.0034903502,0.043265343,0.0033490495,0.0410689,10.975183,10.026758
0.0035030849,0.043589395,0.0033387525,0.04110838,11.020766,10.059766
0.0034889919,0.04350498,0.0033849285,0.042047936,10.999657,10.152651
0.0034882028,0.04354275,0.0032715737,0.04210178,11.002257,10.066313
0.003488589,0.04349524,0.0033044873,0.041789066,11.038467,10.075628
0.0034843683,0.043629304,0.0034106653,0.041436113,11.018252,10.027005
0.0034921234,0.043698028,0.0033210914,0.042111706,11.018559,10.147773
0.003500008,0.04404072,0.0033227992,0.042272154,11.076485,10.043202
0.0034978616,0.043749075,0.0033695677,0.042011883,11.043272,10.064061
0.0035133546,0.043887228,0.003473648,0.04171091,11.052899,10.220471
0.0035880785,0.043560095,0.0033544977,0.0428202,11.14101,10.161705
0.0034919982,0.044143394,0.0033504798,0.042200148,11.102865,10.115635
0.0034843325,0.044020303,0.003349819,0.04423602,11.049394,10.281697
0.0034788642,0.044144817,0.003387559,0.04335242,11.046494,10.196098
0.0034742514,0.04415162,0.003374244,0.042028613,11.052765,10.109626
0.0034883476,0.04420517,0.0033022815,0.041967753,11.061043,10.137103
0.003459638,0.04415944,0.0033170397,0.042294238,11.043731,10.0871105
0.0034766071,0.044227354,0.0033608316,0.04225219,11.0666065,10.141881
